"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"Gluconate 2-dehydrogenase (acceptor)",0.0183691357977391,0.0038720936103445,0.0166692151549775,0.00178067289961112,0.00523402022219297,65,0.0195572523760134,0.00280040088324972,0.00548742539396191,93,0.00758332414846042,-0.380840534374649,153.231065365809,0.70384905331787,0.913929007735421,-0.159782568796406,0.434637076097433,0.71365267091636,0.999220610047494
"Mannitol-1-phosphate 5-dehydrogenase",0.0183020683243199,0.00189832075371441,0.0190792226097253,0.000822503789962416,0.00355723269704981,65,0.0177588959743055,0.000398744571713025,0.00207064628556521,93,0.00411600297629694,0.320778833986092,106.233960126865,0.749008165504776,0.929035511868396,0.0717133518319747,0.208961592742937,0.731918210657401,0.999220610047494
"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",0.0182787020245099,0.0021267469334042,0.0128071225362469,0.0003356351702115,0.00227235956733389,65,0.0221029242474893,0.000950131665417056,0.00319632124803085,93,0.00392174546903128,-2.3703225476126,152.499549268768,0.0190230065590195,0.645302157723903,-0.545708454351254,0.246843760967479,0.0285087829406936,0.779732027980302
"RNA ligase (ATP)",0.0182648838764226,0.00175426421267873,0.0165144897775459,0.000443564252397422,0.00261229122065263,65,0.019488277601444,0.000517528180140229,0.00235898688874966,93,0.00351978473245049,-0.844877755301747,144.222074526093,0.399578486797457,0.750185542708547,-0.165574970885959,0.198935847330564,0.4065100564491,0.864719895834913
"Poly(beta-D-mannuronate) lyase",0.0182076640191713,0.00284412800280772,0.0189623067877607,0.0014080327837335,0.00465424997466501,65,0.0176802255249959,0.00120087323312227,0.00359341278034084,93,0.00588002195885237,0.218040216811546,130.727253432983,0.827737765294779,0.952619038389891,0.0700063424007927,0.316390417531963,0.825174923806938,0.999220610047494
"Sulfur carrier protein ThiS adenylyltransferase",0.0181063972501678,0.00197675306956599,0.0235889545066444,0.000930375214236454,0.00378331400156093,65,0.0142745023934906,0.000370297634890341,0.00199541850217464,93,0.00427728416559244,2.17765566947401,99.218248554462,0.0318018152268573,0.676517665586484,0.502303674123664,0.210342038433366,0.0181349012189883,0.779732027980302
"tRNA pseudouridine(65) synthase",0.0180190921451067,0.00195833587824849,0.0191717014206161,0.000763201283288785,0.00342659571651557,65,0.0172135050170624,0.000501536852907548,0.00232225523707078,93,0.00413937526573099,0.473065686932316,118.849853950449,0.637033993643868,0.884815941237279,0.107741056313799,0.218700385151646,0.62295802992642,0.966911362161859
"Nickel-transporting ATPase",0.0179627170158907,0.00348536514691561,0.0239132953281841,0.00308998177295983,0.00689479376939288,65,0.0138037106685889,0.00108335317830751,0.00341305712031492,93,0.00769331788170691,1.3140734355503,95.2307144484421,0.191978052194686,0.706320217468745,0.549497149189524,0.375807667956561,0.14570444763426,0.806324146987683
"Maltose alpha-D-glucosyltransferase",0.017948067644598,0.0024626244535162,0.0173465611127582,0.000865358606394814,0.00364872708340196,65,0.0183684754356688,0.00103275606210217,0.00333240212062887,93,0.00494146873133108,-0.206803761891924,145.077883795585,0.83645308523759,0.956737431221528,-0.0572416237228589,0.280980662836582,0.83883714413207,0.999220610047494
"Adenine deaminase",0.0179049759638291,0.0022701128594529,0.0153248118449161,0.000842559172762837,0.00360034009667642,65,0.0197083164770478,0.000795397829522847,0.00292449394486961,93,0.00463843870772429,-0.945038817659051,135.331931063814,0.346323268417932,0.720190937048058,-0.251567498765866,0.268011216823543,0.349363848769773,0.840041867221969
"Diglucosyl diacylglycerol synthase (1,6-linking)",0.0179042210490263,0.00170407505465672,0.0186423269554042,0.000607633821885615,0.00305748469242187,65,0.0173883405768267,0.000359616485982157,0.00196642923475319,93,0.00363525192795301,0.34495171268187,114.293096994405,0.730764658554089,0.921195401269862,0.0696347408686569,0.192124800706597,0.717509807834122,0.999220610047494
"Arylsulfatase",0.0177960619613378,0.00202677290433224,0.0132122689559158,0.000156770142103498,0.00155301266577379,65,0.0209997882554499,0.000973312410281363,0.00323507725436891,93,0.00358853356982889,-2.17011187104639,129.409621005534,0.0318243435944307,0.676517665586484,-0.463366498394162,0.23235422670202,0.0478699877631017,0.779732027980302
"Fructose-6-phosphate phosphoketolase",0.0176509565703993,0.00249710775584359,0.0200121193327008,0.00144243243797091,0.00471076090207044,65,0.0160006815214789,0.000671170094438261,0.00268642564309815,93,0.00542292826915227,0.739718029102563,104.693323599333,0.461126591223429,0.78637254387898,0.223706740240352,0.279724652614584,0.425078068683208,0.86490119461461
"Phosphoketolase",0.0176509565703993,0.00249710775584359,0.0200121193327008,0.00144243243797091,0.00471076090207044,65,0.0160006815214789,0.000671170094438261,0.00268642564309815,93,0.00542292826915227,0.739718029102563,104.693323599333,0.461126591223429,0.78637254387898,0.223706740240352,0.279724652614584,0.425078068683208,0.86490119461461
"Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase",0.0172986484124048,0.00337539397356559,0.00885731316484728,0.000602044146734733,0.0030433891703285,65,0.0231985063811278,0.00256763223971515,0.00525442183443064,93,0.00607216324354132,-2.36179309433661,141.232972132077,0.0195519954106929,0.645302157723903,-0.962844432254935,0.452759398737731,0.0350253151512102,0.779732027980302
"Acyl-homoserine-lactone acylase",0.0172705447878388,0.00297766370166156,0.0169868995594571,0.0011253749191247,0.00416094463964929,65,0.0174687914528368,0.00160770707860514,0.00415778461301537,93,0.0058822302898181,-0.0819233300358472,150.933108418401,0.934816221244902,0.989846549019797,-0.0279735115572157,0.352011426936965,0.936762531637229,0.999220610047494
"Beta-phosphoglucomutase",0.0170979678897824,0.00255821117440102,0.0216971890839063,0.00161345860153906,0.00498221236236251,65,0.0138834584530292,0.000616785083665127,0.0025752859402052,93,0.00560843451397058,1.39321063862173,97.9059484517553,0.166711218627145,0.706320217468745,0.446484624725104,0.29004990730762,0.125747917128994,0.806324146987683
"Acetoacetyl-CoA reductase",0.0169996988332597,0.00273354003636428,0.0150002588967948,0.00128022445434375,0.00443799063046078,65,0.0183971568533695,0.0011193540796698,0.00346930329789621,93,0.00563310094076532,-0.603024513903565,131.864476663409,0.547528135681481,0.843025840371923,-0.204128672156604,0.33786009916824,0.546600921961901,0.929617336305277
"UDP-glucuronate 4-epimerase",0.016933695399749,0.00170638235927176,0.0151457175704955,0.000444971599638046,0.00261643209686558,65,0.0181833573234207,0.000471711181552111,0.00225214636347104,93,0.00345222828909159,-0.879906975597068,140.367311928736,0.380413657861888,0.735872531123115,-0.182788917078276,0.20966122659774,0.384641007509059,0.852054962588999
"Phenylalanine 4-monooxygenase",0.0168376138966741,0.00197752504385685,0.0161729915551859,0.00068875186583662,0.00325517780640822,65,0.0173021348880368,0.000574756262313987,0.00248599574890852,93,0.00409589519091051,-0.275676813058266,129.727451833809,0.783234947865285,0.936752660511096,-0.0674872348403006,0.241429281818755,0.78020677798862,0.999220610047494
"4-phosphoerythronate dehydrogenase",0.0167320744046931,0.00161624180775387,0.0167780258067838,0.000394259358362271,0.00246282938714576,65,0.0166999578333394,0.000430068840497047,0.00215044091627202,93,0.00326954503326772,0.0238773201317012,141.551493572954,0.980984092006447,0.994568835531447,0.00466384654001006,0.196856095047032,0.98112884069853,0.999220610047494
"Lactocepin",0.0167060952072084,0.00148062877851194,0.0171431594480769,0.000394746374027057,0.0024643500439016,65,0.0164006202001498,0.000316264976976226,0.00184409833717286,93,0.00307794084024393,0.241245458073272,127.854848299508,0.809751340379967,0.945191722204404,0.0442800768167117,0.179814387060561,0.805809060178484,0.999220610047494
"Glycerone kinase",0.016633984861747,0.00159341599044061,0.014280772993897,0.000299976225254174,0.00214825949318611,65,0.0182787028339002,0.000469258750602293,0.00224628426901605,93,0.00310818465784985,-1.28625879093324,153.120862116375,0.200294258816003,0.706320217468745,-0.246822516664849,0.198922999620622,0.216544510498948,0.806324146987683
"Diphosphate--fructose-6-phosphate 1-phosphotransferase",0.0164214085797278,0.00167139760506547,0.0143962282093639,0.000310468221365505,0.00218550547353557,65,0.0178368572256811,0.000532330619396666,0.00239248514202343,93,0.00324043505252871,-1.06177996489462,154.726550853533,0.289990056195405,0.706320217468745,-0.214300706585438,0.210257597621512,0.309672173572391,0.82047477878728
"Phospholipase A(1)",0.016404072075607,0.00178397622515003,0.0154732231702173,0.000430574444265372,0.00257375644136489,65,0.0170546653965783,0.000557547941439493,0.00244849732596615,93,0.00355237404769411,-0.445178971901194,147.958929154923,0.656841039849211,0.889428848169055,-0.097312808154149,0.223325200087059,0.663624202269803,0.976642841886006
"Phospholipase A(2)",0.016404072075607,0.00178397622515003,0.0154732231702173,0.000430574444265372,0.00257375644136489,65,0.0170546653965783,0.000557547941439493,0.00244849732596615,93,0.00355237404769411,-0.445178971901194,147.958929154923,0.656841039849211,0.889428848169055,-0.097312808154149,0.223325200087059,0.663624202269803,0.976642841886006
"5-dehydro-4-deoxyglucarate dehydratase",0.0163137147583335,0.00286593938347109,0.0146121997010206,0.000980924503712738,0.00388473245037097,65,0.0175029457123694,0.00152878144930181,0.00405444326727435,93,0.00561512746235662,-0.514813961166173,153.042577026592,0.607425741926174,0.869985107338708,-0.180512417566042,0.363035345878413,0.619726257506218,0.965439431369303
"[Isocitrate dehydrogenase (NADP(+))] kinase",0.01625419230059,0.00182913001630445,0.0173536511515236,0.000629721730443275,0.00311255949697419,65,0.0154857533187546,0.000462588767927731,0.00223026293817937,93,0.0038291120897175,0.487814874311174,123.87349212025,0.626543260168738,0.881832524631633,0.113882464732428,0.226683362481124,0.616104705530756,0.963347150511848
"Nitric-oxide reductase (cytochrome c)",0.016211493829681,0.00167409454025438,0.0159432207001955,0.000482259817023857,0.00272385421789916,65,0.0163989965545902,0.000420092764081368,0.0021253532636949,93,0.00345492522290506,-0.131920613324156,131.69442856673,0.895248418492578,0.971630213863886,-0.0281864421137362,0.211176784739471,0.893991180846095,0.999220610047494
"L-iditol 2-dehydrogenase",0.0161466911221812,0.00202948309203103,0.0141837207538035,0.000679965737156089,0.00323434867335959,65,0.0175186596592194,0.000632909464371786,0.00260873113055458,93,0.00415529655408462,-0.802575426809826,134.699721334671,0.42363395572301,0.764939063180217,-0.21117169794218,0.263802802097416,0.424643925116068,0.86490119461461
"Chorismate lyase",0.0160683965586823,0.00174295164625265,0.0178943180839331,0.000524110117575791,0.00283958316977846,65,0.0147922148474855,0.000450504803143349,0.00220094017824385,93,0.00359268287583209,0.863450336047012,131.085041805348,0.389467011776795,0.743080562180636,0.190382218425521,0.218090535346799,0.384031818762018,0.851881704997802
"Rubredoxin--NAD(+) reductase",0.0160633190529122,0.00212014005597393,0.017710855027151,0.000782628971268388,0.00346993453999083,65,0.0149118154150034,0.000664291464724698,0.00267262398693389,93,0.00437988181203052,0.639067384069407,130.507532620647,0.523899154800939,0.821822125973691,0.172023850390572,0.265679747984844,0.51826932254701,0.913297510500564
"Cellulase",0.0160482402670467,0.00164996022896584,0.0113719739426835,0.000312528639207303,0.00219274551895143,65,0.0193165984507414,0.000490374128022056,0.00229626655383443,93,0.00317505480222629,-2.50220075020038,153.183701206542,0.0133924966991077,0.645302157723903,-0.529812837282095,0.223864804441854,0.0191766546330605,0.779732027980302
"Ribitol-5-phosphate 2-dehydrogenase",0.0160342246039905,0.00168049967141337,0.0135127384372483,0.000294362554385299,0.00212806359934349,65,0.0177965536452619,0.000549052185373794,0.00242977096441273,93,0.00322992904292864,-1.32628771439804,155.634495882437,0.186687429258091,0.706320217468745,-0.275372003315709,0.21745032569943,0.207269241777608,0.806324146987683
"Catalase peroxidase",0.0159921913236601,0.00178861366263308,0.0144448907091281,0.000530167165229126,0.00285594431433842,65,0.0170736379897309,0.000490899503229082,0.00229749630729478,93,0.00366536590378574,-0.717185500603826,134.464294968924,0.474503630245222,0.795410348571498,-0.167194868045095,0.232933911946851,0.473967599360455,0.889278547557299
"Acireductone dioxygenase (Fe(2+)-requiring)",0.0159834907468909,0.00194910445191826,0.0157825440958781,0.000639671543753429,0.00313705286425487,65,0.016123937330932,0.000579290854448774,0.00249578322752679,93,0.00400874476512707,-0.0851621280615766,133.462302322312,0.932260118590137,0.989846549019797,-0.0214004333237515,0.249160156009833,0.93166378348635,0.999220610047494
