"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"Hydroxylamine reductase",0.934528832630098,0.13626813424786,0.823475783475783,1.947464110478,0.173092421310253,65,1.01214655515731,3.63720771920779,0.197761878079647,93,0.262813140342402,-0.717889415406389,155.644251999415,0.473901619429785,0.583177598062034,-0.206294514355917,0.300901396541274,0.493990237943632,0.634608817661025
"Cadmium-exporting ATPase",0.931405499781755,0.128427174120315,0.823448275862069,1.7537846313912,0.164259861260757,65,1.00685947348906,3.21314648571154,0.185876201306009,93,0.248054962122017,-0.739397414419689,155.487448067734,0.460780522121116,0.579333573480432,-0.201090595797256,0.284459343935618,0.480669502111544,0.634608817661025
"Dihydrofolate reductase",0.931405499781755,0.128427174120315,0.823448275862069,1.7537846313912,0.164259861260757,65,1.00685947348906,3.21314648571154,0.185876201306009,93,0.248054962122017,-0.739397414419689,155.487448067734,0.460780522121116,0.579333573480432,-0.201090595797256,0.284459343935618,0.480669502111544,0.634608817661025
"GTP cyclohydrolase I",0.931405499781755,0.128427174120315,0.823448275862069,1.7537846313912,0.164259861260757,65,1.00685947348906,3.21314648571154,0.185876201306009,93,0.248054962122017,-0.739397414419689,155.487448067734,0.460780522121116,0.579333573480432,-0.201090595797256,0.284459343935618,0.480669502111544,0.634608817661025
"Zinc-exporting ATPase",0.931405499781755,0.128427174120315,0.823448275862069,1.7537846313912,0.164259861260757,65,1.00685947348906,3.21314648571154,0.185876201306009,93,0.248054962122017,-0.739397414419689,155.487448067734,0.460780522121116,0.579333573480432,-0.201090595797256,0.284459343935618,0.480669502111544,0.634608817661025
"Dihydroorotase",0.930314273243125,0.137990208852763,0.812838196286472,2.28793382420196,0.187613917156482,65,1.01242120875046,3.52594197895491,0.194713519336533,93,0.27039292986914,-0.738122156376581,152.800161708231,0.461572343769437,0.579333573480432,-0.219567908251905,0.307910346051938,0.476855168078161,0.634608817661025
"Endopeptidase La",0.930314273243125,0.137990208852763,0.812838196286472,2.28793382420196,0.187613917156482,65,1.01242120875046,3.52594197895491,0.194713519336533,93,0.27039292986914,-0.738122156376581,152.800161708231,0.461572343769437,0.579333573480432,-0.219567908251905,0.307910346051938,0.476855168078161,0.634608817661025
"Isoleucine--tRNA ligase",0.930314273243125,0.137990208852763,0.812838196286472,2.28793382420196,0.187613917156482,65,1.01242120875046,3.52594197895491,0.194713519336533,93,0.27039292986914,-0.738122156376581,152.800161708231,0.461572343769437,0.579333573480432,-0.219567908251905,0.307910346051938,0.476855168078161,0.634608817661025
"Phosphoribosylformylglycinamidine synthase",0.930314273243125,0.137990208852763,0.812838196286472,2.28793382420196,0.187613917156482,65,1.01242120875046,3.52594197895491,0.194713519336533,93,0.27039292986914,-0.738122156376581,152.800161708231,0.461572343769437,0.579333573480432,-0.219567908251905,0.307910346051938,0.476855168078161,0.634608817661025
"Transketolase",0.927477084242689,0.137322743308069,0.802758620689655,1.98606465517241,0.174799430344628,65,1.01464590285502,3.68428466523134,0.199037594796241,93,0.264897725530211,-0.799883357779921,155.592300337871,0.424997904863131,0.579333573480432,-0.234240894567531,0.306499173655641,0.445874841785204,0.634608817661025
