"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"NADH:ubiquinone reductase (H(+)-translocating)",1.12974683544304,0.383503466591773,1.05384615384615,13.9169771634615,0.462717344581259,65,1.18279569892473,29.9675812295465,0.567654874225249,93,0.73235196265731,-0.176075919303458,155.921237550068,0.860462776576012,0.874217954176694,-0.115434404934794,0.694499997076078,0.868205149093477,0.882084094638488
"CoB--CoM heterodisulfide reductase",0.924050632911392,0.315237516664883,1.23076923076923,22.4927884615385,0.588254111254893,65,0.709677419354839,11.0343618513324,0.344454717147065,93,0.681683175363122,0.764419352343286,106.68673072866,0.446304833637822,0.487187719161897,0.550584114347969,0.678876083505477,0.418588087069766,0.45693203397692
"Hydrogen dehydrogenase (NADP(+))",0.924050632911392,0.315237516664883,1.23076923076923,22.4927884615385,0.588254111254893,65,0.709677419354839,11.0343618513324,0.344454717147065,93,0.681683175363122,0.764419352343286,106.68673072866,0.446304833637822,0.487187719161897,0.550584114347969,0.678876083505477,0.418588087069766,0.45693203397692
"Fumarate hydratase",0.89873417721519,0.341142617343352,0.746153846153846,6.83689903846154,0.324319382908542,65,1.00537634408602,26.5950794763908,0.534760316890036,93,0.625421185002962,-0.414476682511079,144.100201874719,0.679141386408501,0.696180776031653,-0.298185431429849,0.778633371413014,0.702270743907793,0.719890439991501
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.873417721518987,0.607455505515242,0.261538461538462,4.44615384615385,0.261538461538462,65,1.3010752688172,95.9518466573165,1.01574617234711,93,1.04887685335397,-0.991095192876688,103.946441911651,0.323940595892276,0.383631513147789,-1.60436498761255,1.84012502727485,0.384614685886862,0.455485714963324
"4-hydroxybutanoyl-CoA dehydratase",0.873417721518987,0.607455505515242,0.261538461538462,4.44615384615385,0.261538461538462,65,1.3010752688172,95.9518466573165,1.01574617234711,93,1.04887685335397,-0.991095192876688,103.946441911651,0.323940595892276,0.383631513147789,-1.60436498761255,1.84012502727485,0.384614685886862,0.455485714963324
"Alcohol dehydrogenase",0.873417721518987,0.607455505515242,0.261538461538462,4.44615384615385,0.261538461538462,65,1.3010752688172,95.9518466573165,1.01574617234711,93,1.04887685335397,-0.991095192876688,103.946441911651,0.323940595892276,0.383631513147789,-1.60436498761255,1.84012502727485,0.384614685886862,0.455485714963324
"Arogenate dehydratase",0.873417721518987,0.607455505515242,0.261538461538462,4.44615384615385,0.261538461538462,65,1.3010752688172,95.9518466573165,1.01574617234711,93,1.04887685335397,-0.991095192876688,103.946441911651,0.323940595892276,0.383631513147789,-1.60436498761255,1.84012502727485,0.384614685886862,0.455485714963324
"Dihydrolipoyl dehydrogenase",0.873417721518987,0.607455505515242,0.261538461538462,4.44615384615385,0.261538461538462,65,1.3010752688172,95.9518466573165,1.01574617234711,93,1.04887685335397,-0.991095192876688,103.946441911651,0.323940595892276,0.383631513147789,-1.60436498761255,1.84012502727485,0.384614685886862,0.455485714963324
"Magnesium-importing ATPase",0.873417721518987,0.607455505515242,0.261538461538462,4.44615384615385,0.261538461538462,65,1.3010752688172,95.9518466573165,1.01574617234711,93,1.04887685335397,-0.991095192876688,103.946441911651,0.323940595892276,0.383631513147789,-1.60436498761255,1.84012502727485,0.384614685886862,0.455485714963324
