"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"Site-specific DNA-methyltransferase (adenine-specific)",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"Trimethylamine-N-oxide reductase (cytochrome c)",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"23S rRNA pseudouridine(1911/1915/1917) synthase",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"Acetyl-CoA carboxylase",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"Asparaginase",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"Asparaginyl-tRNA synthase (glutamine-hydrolyzing)",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"Fumarate hydratase",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"Glutamate--tRNA ligase",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"Glutaminyl-tRNA synthase (glutamine-hydrolyzing)",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"H(+)-transporting two-sector ATPase",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
